E,M
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
3,17
4,17
4,17
4,17
4,17
4,17
4,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
2,17
